pkSeqID,stime,flgs,flgs_number,proto,proto_number,saddr,sport,daddr,dport,pkts,bytes,state,state_number,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,TnBPSrcIP,TnBPDstIP,TnP_PSrcIP,TnP_PDstIP,TnP_PerProto,TnP_Per_Dport,AR_P_Proto_P_SrcIP,AR_P_Proto_P_DstIP,N_IN_Conn_P_DstIP,N_IN_Conn_P_SrcIP,AR_P_Proto_P_Sport,AR_P_Proto_P_Dport,Pkts_P_State_P_Protocol_P_DestIP,Pkts_P_State_P_Protocol_P_SrcIP,attack,category,subcategory
23,1528088522,e,1,tcp,1,192.168.100.147,50002,192.168.100.7,80,8,2045,RST,1,1528088529,31,7.027757,1.764084,1.764084,3.528169,0,3.528169,5,3,715,1330,0.99605,0.569172,0.566866,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13834,1.12997,770,602,1,DoS,HTTP
24,1528088522,e,1,tcp,1,192.168.100.147,50004,192.168.100.7,80,8,1964,RST,1,1528088529,32,7.027341,1.768135,1.768135,3.53627,0,3.53627,5,3,634,1330,0.996109,0.569205,0.565568,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13841,1.12997,770,602,1,DoS,HTTP
25,1528088522,e,1,tcp,1,192.168.100.147,50006,192.168.100.7,80,8,2056,RST,1,1528088529,33,7.026891,1.770982,1.770982,3.541963,0,3.541963,5,3,726,1330,0.996173,0.569242,0.564659,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13848,1.12997,770,602,1,DoS,HTTP
26,1528088522,e,1,tcp,1,192.168.100.147,50008,192.168.100.7,80,8,2080,RST,1,1528088529,34,7.02654,1.772235,1.772235,3.544469,0,3.544469,5,3,750,1330,0.996223,0.56927,0.564259,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13854,1.12997,770,602,1,DoS,HTTP
27,1528088522,e,1,tcp,1,192.168.100.147,50010,192.168.100.7,80,8,2107,RST,1,1528088529,35,7.026116,2.287254,2.287254,4.574508,0,4.574508,5,3,777,1330,0.996283,0.569305,0.437205,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13861,1.12997,770,602,1,DoS,HTTP
28,1528088522,e,1,tcp,1,192.168.100.147,50012,192.168.100.7,80,8,2251,RST,1,1528088529,36,7.025353,2.290204,2.290204,4.580407,0,4.580407,5,3,921,1330,0.996391,0.569366,0.436642,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13873,1.12997,770,602,1,DoS,HTTP
29,1528088522,e,1,tcp,1,192.168.100.147,50014,192.168.100.7,80,8,1906,RST,1,1528088529,37,7.025091,2.295114,2.295114,4.590228,0,4.590228,5,3,576,1330,0.996428,0.569388,0.435708,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13878,1.12997,770,602,1,DoS,HTTP
30,1528088522,e,1,tcp,1,192.168.100.147,50016,192.168.100.7,80,8,2284,RST,1,1528088529,38,7.024287,2.299771,2.299771,4.599541,0,4.599541,5,3,954,1330,0.996542,0.569453,0.434826,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13891,1.12997,770,602,1,DoS,HTTP
31,1528088522,e,1,tcp,1,192.168.100.147,50018,192.168.100.7,80,8,2085,RST,1,1528088529,39,7.023856,2.301371,2.301371,4.602742,0,4.602742,5,3,755,1330,0.996604,0.569488,0.434524,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13898,1.12997,770,602,1,DoS,HTTP
32,1528088522,e,1,tcp,1,192.168.100.147,50020,192.168.100.7,80,8,2004,RST,1,1528088529,40,7.023492,2.311155,2.311155,4.622309,0,4.622309,5,3,674,1330,0.996655,0.569517,0.432684,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13903,1.12997,770,602,1,DoS,HTTP
33,1528088522,e,1,tcp,1,192.168.100.147,50022,192.168.100.7,80,8,2052,RST,1,1528088529,41,7.023089,2.314272,2.314272,4.628544,0,4.628544,5,3,722,1330,0.996712,0.56955,0.432101,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.1391,1.12997,770,602,1,DoS,HTTP
34,1528088522,e,1,tcp,1,192.168.100.147,50024,192.168.100.7,80,8,2138,RST,1,1528088529,42,7.022603,2.319012,2.319012,4.638025,0,4.638025,5,3,808,1330,0.996781,0.569589,0.431218,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13918,1.12997,770,602,1,DoS,HTTP
35,1528088522,e,1,tcp,1,192.168.100.147,50026,192.168.100.7,80,8,2217,RST,1,1528088529,43,7.022032,2.323793,2.323793,4.647586,0,4.647586,5,3,887,1330,0.996862,0.569636,0.430331,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13927,1.12997,770,602,1,DoS,HTTP
36,1528088522,e,1,tcp,1,192.168.100.147,50028,192.168.100.7,80,8,2173,RST,1,1528088529,44,7.021513,2.325381,2.325381,4.650762,0,4.650762,5,3,843,1330,0.996936,0.569678,0.430037,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13936,1.12997,770,602,1,DoS,HTTP
37,1528088522,e,1,tcp,1,192.168.100.147,50030,192.168.100.7,80,8,2115,RST,1,1528088529,45,7.021013,2.335138,2.335138,4.670276,0,4.670276,5,3,785,1330,0.997007,0.569718,0.42824,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13944,1.12997,770,602,1,DoS,HTTP
38,1528088522,e,1,tcp,1,192.168.100.147,50032,192.168.100.7,80,8,2014,RST,1,1528088529,46,7.020627,2.338222,2.338222,4.676443,0,4.676443,5,3,684,1330,0.997062,0.56975,0.427675,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.1395,1.12997,770,602,1,DoS,HTTP
39,1528088522,e,1,tcp,1,192.168.100.147,50034,192.168.100.7,80,8,2205,RST,1,1528088529,47,7.020012,2.342937,2.342937,4.685874,0,4.685874,5,3,875,1330,0.997149,0.5698,0.426815,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.1396,1.12997,770,602,1,DoS,HTTP
40,1528088522,e,1,tcp,1,192.168.100.147,50036,192.168.100.7,80,8,2157,RST,1,1528088529,48,7.019396,2.34764,2.34764,4.695279,0,4.695279,5,3,827,1330,0.997237,0.56985,0.42596,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.1397,1.12997,770,602,1,DoS,HTTP
41,1528088522,e,1,tcp,1,192.168.100.147,50038,192.168.100.7,80,8,2071,RST,1,1528088529,49,7.018873,2.3492,2.3492,4.698401,0,4.698401,5,3,741,1330,0.997311,0.569892,0.425677,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13978,1.12997,770,602,1,DoS,HTTP
42,1528088522,e,1,tcp,1,192.168.100.147,50040,192.168.100.7,80,8,2183,RST,1,1528088529,50,7.018288,2.353919,2.353919,4.707837,0,4.707837,5,3,853,1330,0.997394,0.56994,0.424824,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13988,1.12997,770,602,1,DoS,HTTP
43,1528088522,e,1,tcp,1,192.168.100.147,50042,192.168.100.7,80,8,2077,RST,1,1528088529,51,7.01788,0.643642,0.643516,1.287284,0.000126,1.287158,5,3,747,1330,0.997452,0.569973,0.348996,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13995,1.12997,770,602,1,DoS,HTTP
44,1528088522,e,1,tcp,1,192.168.100.147,50044,192.168.100.7,80,8,2024,RST,1,1528088529,52,7.017559,0.639533,0.6394,1.279066,0.000133,1.278933,5,3,694,1330,0.997498,0.569999,0.348515,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14,1.12997,770,602,1,DoS,HTTP
45,1528088522,e,1,tcp,1,192.168.100.147,50046,192.168.100.7,80,8,2121,RST,1,1528088529,53,7.017082,0.637162,0.637028,1.274324,0.000134,1.27419,5,3,791,1330,0.997566,0.570037,0.348257,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14008,1.12997,770,602,1,DoS,HTTP
46,1528088522,e,1,tcp,1,192.168.100.147,50048,192.168.100.7,80,8,2152,RST,1,1528088529,54,7.016589,0.632123,0.631981,1.264245,0.000142,1.264103,5,3,822,1330,0.997636,0.570078,0.347676,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14016,1.12997,770,602,1,DoS,HTTP
47,1528088522,e,1,tcp,1,192.168.100.147,50050,192.168.100.7,80,8,2087,RST,1,1528088529,55,7.01616,0.631178,0.631045,1.262357,0.000133,1.262224,5,3,757,1330,0.997697,0.570112,0.347588,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14022,1.12997,770,602,1,DoS,HTTP
48,1528088522,e,1,tcp,1,192.168.100.147,50052,192.168.100.7,80,8,2147,RST,1,1528088529,56,7.015676,0.622872,0.622744,1.245744,0.000128,1.245616,5,3,817,1330,0.997766,0.570152,0.346617,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.1403,1.12997,770,602,1,DoS,HTTP
49,1528088522,e,1,tcp,1,192.168.100.147,50054,192.168.100.7,80,8,2098,RST,1,1528088529,57,7.01511,0.618666,0.618514,1.237333,0.000153,1.23718,5,3,768,1330,0.997846,0.570198,0.346145,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.1404,1.12997,770,602,1,DoS,HTTP
50,1528088522,e,1,tcp,1,192.168.100.147,50056,192.168.100.7,80,8,2017,RST,1,1528088529,58,7.014687,0.614326,0.614205,1.228652,0.000121,1.228531,5,3,687,1330,0.997906,0.570232,0.345653,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14046,1.12997,770,602,1,DoS,HTTP
51,1528088522,e,1,tcp,1,192.168.100.147,50058,192.168.100.7,80,8,2204,RST,1,1528088529,59,7.014085,0.611972,0.611834,1.223944,0.000138,1.223806,5,3,874,1330,0.997992,0.570281,0.345407,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14056,1.12997,770,602,1,DoS,HTTP
52,1528088522,e,1,tcp,1,192.168.100.147,50060,192.168.100.7,80,8,2071,RST,1,1528088529,60,7.013643,0.610124,0.609618,1.220248,0.000506,1.219742,5,3,741,1330,0.998055,0.570317,0.345191,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14063,1.12997,770,602,1,DoS,HTTP
53,1528088522,e,1,tcp,1,192.168.100.147,50062,192.168.100.7,80,8,2103,RST,1,1528088529,61,7.013159,0.602019,0.601898,1.204038,0.000121,1.203917,5,3,773,1330,0.998124,0.570356,0.344279,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14071,1.12997,770,602,1,DoS,HTTP
54,1528088522,e,1,tcp,1,192.168.100.147,50064,192.168.100.7,80,8,2240,RST,1,1528088529,62,7.012476,0.597541,0.597412,1.195082,0.000129,1.194953,5,3,910,1330,0.998221,0.570412,0.343789,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14082,1.12997,770,602,1,DoS,HTTP
55,1528088522,e,1,tcp,1,192.168.100.147,50066,192.168.100.7,80,8,2133,RST,1,1528088529,63,7.011977,0.592997,0.592853,1.185994,0.000144,1.18585,5,3,803,1330,0.998292,0.570453,0.343281,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14091,1.12997,770,602,1,DoS,HTTP
56,1528088522,e,1,tcp,1,192.168.100.147,50068,192.168.100.7,80,8,2133,RST,1,1528088529,64,7.011499,0.591847,0.591716,1.183695,0.000132,1.183563,5,3,803,1330,0.99836,0.570491,0.343175,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14098,1.12997,770,602,1,DoS,HTTP
57,1528088522,e,1,tcp,1,192.168.100.147,50070,192.168.100.7,80,8,2117,RST,1,1528088529,65,7.010997,0.58853,0.588406,1.17706,0.000124,1.176936,5,3,787,1330,0.998432,0.570532,0.342814,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14106,1.12997,770,602,1,DoS,HTTP
58,1528088522,e,1,tcp,1,192.168.100.147,50072,192.168.100.7,80,8,2354,RST,1,1528088529,66,7.010174,0.580131,0.579998,1.160262,0.000133,1.160129,5,3,1024,1330,0.998549,0.570599,0.341878,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.1412,1.12997,770,602,1,DoS,HTTP
59,1528088522,e,1,tcp,1,192.168.100.147,50074,192.168.100.7,80,8,2134,RST,1,1528088529,67,7.009564,0.576744,0.576582,1.153489,0.000163,1.153326,5,3,804,1330,0.998636,0.570649,0.341516,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.1413,1.12997,770,602,1,DoS,HTTP
60,1528088522,e,1,tcp,1,192.168.100.147,50076,192.168.100.7,80,8,2035,RST,1,1528088529,68,7.009185,0.571947,0.571797,1.143895,0.00015,1.143745,5,3,705,1330,0.99869,0.57068,0.34098,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14136,1.12997,770,602,1,DoS,HTTP
61,1528088522,e,1,tcp,1,192.168.100.147,50078,192.168.100.7,80,8,2062,RST,1,1528088529,69,7.008732,0.56777,0.567639,1.135539,0.000131,1.135408,5,3,732,1330,0.998754,0.570717,0.340523,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14143,1.12997,770,602,1,DoS,HTTP
62,1528088522,e,1,tcp,1,192.168.100.147,50080,192.168.100.7,80,8,2037,RST,1,1528088529,70,7.008389,0.567757,0.567639,1.135515,0.000118,1.135397,5,3,707,1330,0.998803,0.570745,0.340542,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14149,1.12997,770,602,1,DoS,HTTP
63,1528088522,e,1,tcp,1,192.168.100.147,50082,192.168.100.7,80,8,2053,RST,1,1528088529,71,7.008046,0.559378,0.55924,1.118755,0.000138,1.118617,5,3,723,1330,0.998852,0.570772,0.339592,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14155,1.12997,770,602,1,DoS,HTTP
64,1528088522,e,1,tcp,1,192.168.100.147,50084,192.168.100.7,80,8,2080,RST,1,1528088529,72,7.007707,0.556622,0.556507,1.113244,0.000115,1.113129,5,3,750,1330,0.9989,0.5708,0.339295,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.1416,1.12997,770,602,1,DoS,HTTP
65,1528088522,e,1,tcp,1,192.168.100.147,50086,192.168.100.7,80,8,2072,RST,1,1528088529,73,7.007356,0.551571,0.551455,1.103142,0.000116,1.103026,5,3,742,1330,0.99895,0.570829,0.338734,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14166,1.12997,770,602,1,DoS,HTTP
66,1528088522,e,1,tcp,1,192.168.100.147,50088,192.168.100.7,80,8,2023,RST,1,1528088529,74,7.007094,0.546975,0.546862,1.09395,0.000113,1.093837,5,3,693,1330,0.998988,0.57085,0.338223,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.1417,1.12997,770,602,1,DoS,HTTP
67,1528088522,e,1,tcp,1,192.168.100.147,50090,192.168.100.7,80,8,2047,RST,1,1528088529,75,7.006774,0.54691,0.546786,1.09382,0.000124,1.093696,5,3,717,1330,0.999033,0.570876,0.338233,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14175,1.12997,770,602,1,DoS,HTTP
68,1528088522,e,1,tcp,1,192.168.100.147,50092,192.168.100.7,80,8,2056,RST,1,1528088529,76,7.00645,0.538558,0.538405,1.077116,0.000153,1.076963,5,3,726,1330,0.999079,0.570903,0.337297,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14181,1.12997,770,602,1,DoS,HTTP
69,1528088522,e,1,tcp,1,192.168.100.147,50094,192.168.100.7,80,8,2009,RST,1,1528088529,77,7.006149,0.53407,0.533936,1.068141,0.000135,1.068006,5,3,679,1330,0.999122,0.570927,0.336806,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14185,1.12997,770,602,1,DoS,HTTP
70,1528088522,e,1,tcp,1,192.168.100.147,50096,192.168.100.7,80,8,2088,RST,1,1528088529,78,7.00563,0.53145,0.531333,1.0629,0.000117,1.062783,5,3,758,1330,0.999196,0.570969,0.336539,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14194,1.12997,770,602,1,DoS,HTTP
71,1528088522,e,1,tcp,1,192.168.100.147,50098,192.168.100.7,80,8,2079,RST,1,1528088529,79,7.005275,0.52641,0.526286,1.052821,0.000124,1.052697,5,3,749,1330,0.999247,0.570998,0.335989,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.142,1.12997,770,602,1,DoS,HTTP
72,1528088522,e,1,tcp,1,192.168.100.147,50100,192.168.100.7,80,8,2048,RST,1,1528088529,80,7.004942,0.525279,0.525156,1.050558,0.000123,1.050435,5,3,718,1330,0.999295,0.571025,0.33588,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14205,1.12997,770,602,1,DoS,HTTP
73,1528088522,e,1,tcp,1,192.168.100.147,50102,192.168.100.7,80,8,2108,RST,1,1528088529,81,7.004505,0.516775,0.516644,1.033551,0.000131,1.03342,5,3,778,1330,0.999357,0.571061,0.334947,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14212,1.12997,770,602,1,DoS,HTTP
74,1528088522,e,1,tcp,1,192.168.100.147,50104,192.168.100.7,80,8,1960,RST,1,1528088529,82,7.004181,0.516708,0.516582,1.033416,0.000126,1.03329,5,3,630,1330,0.999403,0.571087,0.334958,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14217,1.12997,770,602,1,DoS,HTTP
75,1528088522,e,1,tcp,1,192.168.100.147,50106,192.168.100.7,80,8,2105,RST,1,1528088529,83,7.003808,0.004871,0.004755,0.009742,0.000116,0.009626,5,3,775,1330,0.999456,0.571118,0.285559,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14224,1.12997,770,602,1,DoS,HTTP
76,1528088522,e,1,tcp,1,192.168.100.147,50108,192.168.100.7,80,8,2112,RST,1,1528088529,84,7.003455,0.001397,0.001279,0.002793,0.000118,0.002675,5,3,782,1330,0.999507,0.571147,0.285573,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.14229,1.12997,770,602,1,DoS,HTTP
77,1528088522,e,1,tcp,1,192.168.100.148,55062,192.168.100.6,80,2,134,RST,1,1528088522,85,0.000358,0.000358,0,0.000358,0.000358,0.000358,1,1,74,60,2793.296143,0,0,44549,134,170,2,772,772,1.08621,5586.59,1,22,5586.59,1.12997,2,170,1,DoS,HTTP
78,1528088522,e,1,arp,2,192.168.100.6,-1,192.168.100.148,-1,2,120,CON,2,1528088522,86,0.000127,0.000127,0,0.000127,0.000127,0.000127,1,1,60,60,7874.015137,0,0,120,360,2,6,8,8,15748,0.00385682,2,1,0.00514243,0.00514243,6,2,1,DoS,HTTP
79,1528088522,e,1,tcp,1,192.168.100.148,51832,192.168.100.7,80,8,2241,RST,1,1528088529,87,7.465442,0.024617,0.015697,0.049235,0.00892,0.040315,5,3,911,1330,0.937654,0.535802,0.267901,44549,201841,170,770,772,772,1.08621,1.12704,96,22,1.0716,1.12997,770,170,1,DoS,HTTP
80,1528088522,e,1,arp,2,192.168.100.7,-1,192.168.100.148,-1,4,240,CON,2,1528090078,88,1555.68396,0.000135,4.10E-05,0.000269,9.30E-05,0.000176,2,2,120,120,0.001928,0.000643,0.000643,360,360,6,6,8,8,0.00385682,0.00385682,2,2,0.00514243,0.00514243,6,6,1,DoS,HTTP
81,1528088522,e,1,tcp,1,192.168.100.148,51834,192.168.100.7,80,8,2103,RST,1,1528088529,89,7.456397,0.018469,0.018295,0.036939,0.000175,0.036764,5,3,773,1330,0.938791,0.536452,0.268226,44549,201841,170,770,772,772,1.08621,1.12704,96,22,1.0729,1.12997,770,170,1,DoS,HTTP
82,1528088522,e,1,tcp,1,192.168.100.148,51836,192.168.100.7,80,8,2079,RST,1,1528088529,90,7.456072,0.018422,0.018254,0.036843,0.000167,0.036676,5,3,749,1330,0.938832,0.536476,0.268238,44549,201841,170,770,772,772,1.08621,1.12704,96,22,1.07295,1.12997,770,170,1,DoS,HTTP
83,1528088522,e,1,tcp,1,192.168.100.148,51838,192.168.100.7,80,8,1971,RST,1,1528088529,91,7.455819,0.018579,0.017849,0.037159,0.000731,0.036428,5,3,641,1330,0.938864,0.536494,0.268247,44549,201841,170,770,772,772,1.08621,1.12704,96,22,1.07299,1.12997,770,170,1,DoS,HTTP
